file_number,file_name,author,title,file_size_kb,encoding,extension
38,38 Михаил Ренџов.txt,Михаил Ренџов,,109.95,UTF-8-SIG,.txt
39,39 Оливера Николова - Вежби за Ибн Пајко.txt,Оливера Николова,Вежби за Ибн Пајко,485.66,UTF-8-SIG,.txt
40,40 Радован Павловски - Заштитна Повелба.txt,Радован Павловски,Заштитна Повелба,181.2,UTF-8-SIG,.txt
41,"41 Јован Павловски - Само понатаму, во височините.txt",Јован Павловски,"Само понатаму, во височините",214.92,UTF-8-SIG,.txt
42,42 Иван Чаповски - Црни Соколи - Бели Меглени.txt,Иван Чаповски,Црни Соколи - Бели Меглени,256.3,UTF-8-SIG,.txt
43,43 Влада Урошевиќ - Непредвидени прошетки.txt,Влада Урошевиќ,Непредвидени прошетки,705.95,UTF-8-SIG,.txt
44,44 Богомил Ѓузел - Остров на копно.txt,Богомил Ѓузел,Остров на копно,339.01,UTF-8-SIG,.txt
45,45 Трајан Петровски - Босфорско Завештание.txt,Трајан Петровски,Босфорско Завештание,147.05,UTF-8-SIG,.txt
46,46 Паскал Гилевски - Зоја.txt,Паскал Гилевски,Зоја,653.41,UTF-8-SIG,.txt
47,47 Ташко Ширилов - Тимотеј и Лидија.txt,Ташко Ширилов,Тимотеј и Лидија,362.19,UTF-8-SIG,.txt
48,48 Петко Дабески - Наивности.txt,Петко Дабески,Наивности,35.43,UTF-8-SIG,.txt
49,49 Чедо Јакимовски - Не будете ме ноќва.txt,Чедо Јакимовски,Не будете ме ноќва,104.83,UTF-8-SIG,.txt
50,50 Гордана Михаилова - Бесконечното.txt,Гордана Михаилова,Бесконечното,272.34,UTF-8-SIG,.txt
51,51 Христо Крстевски - Ветришта над Равен.txt,Христо Крстевски,Ветришта над Равен,667.25,UTF-8-SIG,.txt
52,52 Луан Старова - Татковите книги.txt,Луан Старова,Татковите книги,438.0,UTF-8-SIG,.txt
53,53 Светлана Христова–Јоциќ - Направи едно чудо.txt,Светлана Христова–Јоциќ,Направи едно чудо,181.0,UTF-8-SIG,.txt
54,54 Taња Урошевиќ - Аквамарин.txt,Taња Урошевиќ,Аквамарин,757.65,UTF-8-SIG,.txt
55,55 Божин Павловски - Уткини соседи.txt,Божин Павловски,Уткини соседи,810.17,UTF-8-SIG,.txt
56,56 Ристо Јачев - Сивите гребени.txt,Ристо Јачев,Сивите гребени,167.9,UTF-8-SIG,.txt
57,57 Зоран Ковачевски - Аристотел од Ресен.txt,Зоран Ковачевски,Аристотел од Ресен,837.02,UTF-8-SIG,.txt
58,58 Ристо Василевски - Чувар на полето.txt,Ристо Василевски,Чувар на полето,177.4,UTF-8-SIG,.txt
59,59 Димитар Башевски - Бунар.txt,Димитар Башевски,Бунар,534.23,UTF-8-SIG,.txt
60,60 Митко Маџунков - Кон другата земја.txt,Митко Маџунков,Кон другата земја,1530.4,UTF-8-SIG,.txt
