file_number,merge_key,file_name,author_from_filename,author_from_catalog,title_from_filename,title_from_catalog,genre,source,year,year_clean,original_year,file_size_kb,encoding,_merge,language,cyrillic_ratio,has_mk_chars,has_sq_chars,detection_method,langdetect_result,genre_detected,genre_final,detection_notes,is_fiction,is_original_mk,text_category
52,52,52 Луан Старова - Татковите книги.txt,Луан Старова,Старова Луан,Татковите книги,Татковите книги,Проза,НИД „МИКЕНА“ - Битола,2008,1992.0,1992,438.0,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
53,53,53 Светлана Христова–Јоциќ - Направи едно чудо.txt,Светлана Христова–Јоциќ,Јоциќ Светлана,Направи едно чудо,Направи едно чудо,Поезија,НИД „МИКЕНА“ - Битола,2008,,,181.0,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 22.6, медиана: 22; каталог: Поезија",True,True,original_mk
54,54,54 Taња Урошевиќ - Аквамарин.txt,Taња Урошевиќ,Урошевиќ Тања,Аквамарин,Аквамарин,Проза,НИД „МИКЕНА“ - Битола,2008,2004.0,2004,757.65,UTF-8-SIG,both,mk,0.9992,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
55,55,55 Божин Павловски - Уткини соседи.txt,Божин Павловски,Павлоски Божин,Уткини соседи,Уткини соседи,Проза,НИД „МИКЕНА“ - Битола,2008,1987.0,1987,810.17,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
56,56,56 Ристо Јачев - Сивите гребени.txt,Ристо Јачев,Јачев Ристо,Сивите гребени,Сивите гребени,Поезија,НИД „МИКЕНА“ - Битола,2008,,,167.9,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 29.1, медиана: 30; каталог: Поезија",True,True,original_mk
57,57,57 Зоран Ковачевски - Аристотел од Ресен.txt,Зоран Ковачевски,Ковачески Зоран,Аристотел од Ресен,Аристотел од Ресен,Проза,НИД „МИКЕНА“ - Битола,2008,1984.0,1984,837.02,UTF-8-SIG,both,mk,0.9993,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
58,58,58 Ристо Василевски - Чувар на полето.txt,Ристо Василевски,Василевски Ристо,Чувар на полето,Чувар на полето,Поезија,НИД „МИКЕНА“ - Битола,2008,,,177.4,UTF-8-SIG,both,mk,0.9952,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 26.9, медиана: 26; каталог: Поезија",True,True,original_mk
59,59,59 Димитар Башевски - Бунар.txt,Димитар Башевски,Башевски Димитар,Бунар,Бунар,Проза,НИД „МИКЕНА“ - Битола,2008,2001.0,2001,534.23,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
60,60,60 Митко Маџунков - Кон другата земја.txt,Митко Маџунков,Маџунков Митко,Кон другата земја,Кон другата земја,Проза,НИД „МИКЕНА“ - Битола,2008,1993.0,1993,1530.4,UTF-8-SIG,both,mk,0.9968,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
61,61,61Тодор Чаловски - Ѕидање сон.txt,Тодор Чаловски,Чаловски Тодор,Ѕидање сон,Ѕидање сон,Поезија,НИД „МИКЕНА“ - Битола,2008,,,286.27,UTF-8-SIG,both,mk,0.9987,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 29.2, медиана: 29; каталог: Поезија",True,True,original_mk
62,62,62 Атанас Вангелов - Изучување на молкот.txt,Атанас Вангелов,Вангелов Атанас,Изучување на молкот,Изучување на молкот,Поезија,НИД „МИКЕНА“ - Битола,2008,,,198.93,UTF-8-SIG,both,mk,0.9988,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 26.1, медиана: 27; каталог: Поезија",True,True,original_mk
